body_type,sex,diet,shower_freq,heat_energy_source,transport,vehicle_type,social,monthly_grocery_bill,air_travel_freq,vehicle_km,waste_bag_size,waste_bag_count,tv_daily_time,monthly_clothes,internet_daily_time,energy_eff,recycling,cooking_with,CarbonEmission
obese,male,omnivore,daily,coal,walk/bicycle,,often,167,very frequently,13,small,6,7.506304442,41,18.47130766,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3690
normal,female,vegan,less frequently,coal,public,,never,210,frequently,1098,extra large,7,3.579192735,22,5.378490395,No,"['Glass', 'Metal']",[],2416
normal,female,vegan,daily,coal,walk/bicycle,,often,294,never,0,small,7,6.970656002,41,7.808278973,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1276
obese,female,vegetarian,more frequently,electricity,public,,sometimes,146,rarely,854,small,4,11.80237737,31,0.051081773,Sometimes,['Glass'],"['Stove', 'Microwave']",1499
obese,male,pescatarian,twice a day,electricity,walk/bicycle,,never,140,very frequently,85,medium,3,19.62920226,30,22.02274601,No,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3069
underweight,male,omnivore,more frequently,coal,walk/bicycle,,often,239,very frequently,89,medium,1,13.31335052,17,10.82753181,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2696
obese,female,vegetarian,more frequently,wood,private,hybrid,often,258,rarely,7715,large,2,19.03462677,46,15.14824055,No,['Paper'],"['Oven', 'Microwave']",3432
normal,female,omnivore,twice a day,natural gas,walk/bicycle,,often,108,never,59,large,2,5.562086144,4,17.12355853,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",763
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,never,291,rarely,51,small,5,14.87532646,42,16.55796913,No,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",1531
obese,female,omnivore,twice a day,natural gas,private,petrol,often,188,rarely,2553,extra large,3,2.99474226,29,2.47838496,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",3050
normal,male,pescatarian,more frequently,coal,walk/bicycle,,sometimes,142,never,65,medium,3,16.18510877,43,23.18883276,No,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1988
underweight,female,pescatarian,more frequently,wood,public,,never,69,very frequently,274,small,4,12.11797592,30,11.79392135,Sometimes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1852
normal,female,pescatarian,twice a day,wood,walk/bicycle,,never,209,very frequently,50,extra large,2,16.23548227,39,20.78474418,No,"['Paper', 'Glass']",['Stove'],2296
overweight,female,vegan,twice a day,electricity,public,,sometimes,58,frequently,219,medium,7,1.973072766,18,13.58477375,No,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1757
obese,female,pescatarian,twice a day,electricity,private,hybrid,sometimes,231,frequently,6510,medium,6,21.23051577,19,20.7893283,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2744
overweight,male,pescatarian,twice a day,coal,walk/bicycle,,sometimes,216,rarely,18,large,2,11.6066171,34,6.034218233,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1985
normal,male,vegetarian,twice a day,electricity,public,,often,163,never,1118,medium,4,15.01342042,33,19.6541249,No,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1275
underweight,female,omnivore,more frequently,coal,public,,never,147,rarely,1095,extra large,1,1.201493849,42,12.91546807,Sometimes,"['Paper', 'Plastic']",['Oven'],1586
normal,male,omnivore,daily,wood,walk/bicycle,,never,217,rarely,23,small,4,23.66939509,48,6.896204315,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1681
obese,male,vegan,less frequently,wood,walk/bicycle,,never,238,frequently,83,small,4,8.078597618,33,11.78114835,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",2230
obese,male,pescatarian,more frequently,natural gas,walk/bicycle,,never,251,frequently,20,extra large,7,10.90916002,21,18.77590785,No,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3099
underweight,male,pescatarian,more frequently,electricity,private,hybrid,often,60,never,7285,extra large,1,5.596058064,7,17.21742377,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave']",1757
obese,female,pescatarian,daily,coal,public,,never,175,rarely,405,medium,4,13.07840344,27,12.65484047,Yes,"['Paper', 'Metal']",[],1532
underweight,male,pescatarian,daily,electricity,private,petrol,sometimes,266,frequently,6743,large,1,10.11928158,23,17.22187177,No,[],"['Oven', 'Microwave']",4416
overweight,male,vegan,more frequently,wood,walk/bicycle,,often,114,rarely,8,large,6,17.04831838,13,2.931646735,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1701
obese,male,pescatarian,daily,natural gas,walk/bicycle,,often,132,very frequently,41,medium,7,16.50377986,47,20.94856172,Sometimes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",4194
underweight,male,pescatarian,more frequently,natural gas,public,,never,106,frequently,1059,small,3,11.80582319,26,13.31068965,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1634
normal,female,pescatarian,more frequently,natural gas,walk/bicycle,,often,108,rarely,49,large,2,12.16390593,23,7.429112921,No,['Glass'],[],1329
overweight,male,vegetarian,twice a day,natural gas,walk/bicycle,,never,145,very frequently,26,small,7,11.77714544,24,18.42971144,Sometimes,[],"['Oven', 'Microwave']",2901
underweight,male,pescatarian,more frequently,coal,public,,often,84,frequently,1345,small,2,8.104524665,49,15.08689647,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2536
overweight,male,vegetarian,daily,wood,walk/bicycle,,never,171,very frequently,93,large,4,12.52944412,23,13.40121556,No,['Paper'],"['Stove', 'Microwave']",3100
underweight,female,omnivore,more frequently,natural gas,walk/bicycle,,often,68,very frequently,0,small,3,23.50123733,44,15.22274561,Yes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2180
underweight,male,omnivore,less frequently,natural gas,walk/bicycle,,often,275,never,63,small,6,4.818430029,30,10.38918584,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1629
obese,male,vegan,more frequently,natural gas,walk/bicycle,,sometimes,217,never,44,large,2,14.04989071,32,12.07351065,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",1493
underweight,female,pescatarian,daily,wood,private,petrol,often,139,rarely,1025,extra large,1,18.9236421,14,16.69840169,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",1543
underweight,female,vegetarian,more frequently,electricity,public,,never,141,frequently,265,small,1,15.93772414,47,10.52540477,Yes,"['Plastic', 'Metal']",[],1389
obese,male,omnivore,twice a day,wood,walk/bicycle,,never,146,rarely,59,extra large,7,11.76136247,1,17.67978994,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2118
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,sometimes,221,frequently,60,medium,6,16.79593753,26,18.37938489,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",2288
overweight,female,pescatarian,daily,natural gas,public,,often,198,frequently,1906,large,5,10.31739975,15,22.95434852,Yes,['Metal'],['Oven'],2167
normal,female,omnivore,twice a day,wood,private,electric,sometimes,296,frequently,6798,extra large,5,20.39215259,13,3.441539022,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",2055
overweight,male,vegan,twice a day,natural gas,public,,never,110,very frequently,996,extra large,3,16.19922189,18,12.06946687,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2618
obese,female,pescatarian,twice a day,electricity,private,diesel,often,204,very frequently,3002,small,1,8.12792222,36,14.68298234,No,['Glass'],[],3468
underweight,male,omnivore,less frequently,natural gas,walk/bicycle,,often,108,never,34,small,2,23.61793308,40,3.447868342,No,['Plastic'],"['Stove', 'Grill', 'Airfryer']",1515
overweight,male,vegetarian,daily,coal,public,,often,285,frequently,29,medium,4,16.36594455,18,11.63353499,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2747
underweight,male,pescatarian,daily,electricity,public,,often,98,never,525,extra large,4,15.49663601,13,21.60738872,No,['Metal'],['Stove'],1261
normal,male,pescatarian,daily,coal,private,diesel,often,122,never,1298,large,6,18.88511168,47,16.93624404,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2690
underweight,male,pescatarian,less frequently,wood,private,petrol,never,282,rarely,8881,small,7,6.211673431,4,12.90412279,Yes,['Paper'],['Oven'],4323
overweight,male,pescatarian,less frequently,electricity,public,,often,78,very frequently,567,large,7,6.904093684,9,0.957365082,Yes,[],"['Grill', 'Airfryer']",2978
normal,female,omnivore,twice a day,wood,public,,never,74,frequently,673,large,1,9.113852387,19,23.08067156,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1463
obese,male,vegan,less frequently,coal,walk/bicycle,,never,176,never,9,extra large,6,12.05375316,21,18.83911659,Sometimes,"['Plastic', 'Glass']",[],2181
obese,female,omnivore,less frequently,wood,public,,never,228,rarely,970,small,1,14.61189263,48,15.17620172,No,['Plastic'],"['Stove', 'Grill', 'Airfryer']",1951
obese,female,omnivore,daily,natural gas,public,,never,143,very frequently,541,small,6,8.313351649,35,20.17251737,No,"['Plastic', 'Glass']","['Stove', 'Oven']",3080
normal,male,pescatarian,less frequently,coal,private,hybrid,never,86,very frequently,49,small,4,6.267710122,6,7.334070487,No,"['Glass', 'Metal']","['Stove', 'Oven']",2363
overweight,female,vegan,twice a day,natural gas,walk/bicycle,,often,117,never,51,large,4,6.152670853,41,4.274853529,Yes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1408
underweight,female,vegan,less frequently,electricity,walk/bicycle,,often,165,frequently,80,small,4,18.50745712,39,1.614218305,No,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1550
obese,female,pescatarian,less frequently,electricity,private,petrol,often,223,never,8741,small,1,4.290194584,32,22.4925113,Yes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",4562
overweight,male,omnivore,less frequently,natural gas,public,,sometimes,57,very frequently,1863,extra large,7,7.364538299,4,19.49001615,Sometimes,"['Paper', 'Plastic']",['Oven'],3415
overweight,male,pescatarian,more frequently,coal,walk/bicycle,,often,172,very frequently,99,small,3,1.681260839,24,16.61809152,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",3114
normal,female,pescatarian,daily,coal,walk/bicycle,,sometimes,292,very frequently,23,small,7,12.99124176,47,22.4531244,Yes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2668
overweight,male,omnivore,twice a day,natural gas,public,,often,298,never,159,extra large,1,21.77778892,7,15.25792251,Yes,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",1242
underweight,male,vegetarian,less frequently,natural gas,public,,sometimes,134,very frequently,287,large,4,21.78508762,28,4.521377961,Yes,"['Paper', 'Glass', 'Metal']",[],2358
underweight,male,pescatarian,more frequently,coal,public,,never,244,very frequently,1539,medium,6,18.06339721,50,23.48008555,No,['Glass'],"['Oven', 'Microwave']",3401
underweight,female,pescatarian,less frequently,natural gas,private,diesel,often,122,very frequently,9828,medium,7,15.15774154,33,21.77592412,No,"['Glass', 'Metal']",['Microwave'],4490
normal,female,vegan,more frequently,electricity,private,electric,often,153,very frequently,3457,large,1,15.32954818,15,2.048727749,Yes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1859
underweight,female,omnivore,daily,electricity,public,,sometimes,236,rarely,1792,medium,2,9.410465619,28,4.941711998,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],1057
normal,male,pescatarian,daily,natural gas,private,petrol,often,202,rarely,7934,large,3,7.419395325,37,6.063517432,No,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",4631
underweight,female,pescatarian,more frequently,natural gas,public,,often,79,never,1312,medium,2,1.081818971,15,14.69841749,Yes,['Plastic'],['Microwave'],1065
underweight,male,vegetarian,less frequently,electricity,walk/bicycle,,sometimes,228,rarely,33,small,1,6.00859926,35,18.61955175,No,"['Paper', 'Plastic']","['Oven', 'Microwave']",1094
underweight,female,vegan,twice a day,wood,private,diesel,never,212,rarely,9242,medium,7,19.64575306,33,19.85274678,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",3085
underweight,female,vegan,twice a day,electricity,walk/bicycle,,sometimes,239,very frequently,75,extra large,6,5.05525747,46,12.03039594,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2542
underweight,female,vegan,twice a day,wood,private,diesel,never,166,never,9704,extra large,4,20.79306254,36,14.55736127,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2969
overweight,male,vegetarian,more frequently,coal,public,,never,161,never,1204,small,1,7.845852487,11,14.26814908,No,['Plastic'],"['Oven', 'Grill', 'Airfryer']",1320
underweight,female,omnivore,daily,coal,walk/bicycle,,often,225,rarely,37,extra large,5,19.95169156,50,1.954516004,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2155
obese,female,omnivore,less frequently,natural gas,private,diesel,sometimes,253,never,7988,medium,2,13.96236422,41,12.31825313,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",3641
overweight,male,pescatarian,less frequently,natural gas,public,,sometimes,295,very frequently,882,medium,4,16.05376089,30,2.853465899,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",3199
overweight,male,vegetarian,twice a day,natural gas,private,lpg,sometimes,107,rarely,3194,small,6,6.451448892,45,8.304351548,Sometimes,"['Paper', 'Plastic']",['Oven'],2796
normal,male,omnivore,twice a day,electricity,walk/bicycle,,never,256,very frequently,79,small,3,0.546561048,43,16.34623369,No,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2654
obese,female,vegetarian,twice a day,electricity,public,,sometimes,203,never,675,medium,2,21.98379843,43,23.83883909,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1236
normal,male,vegetarian,less frequently,natural gas,walk/bicycle,,sometimes,84,very frequently,85,small,3,18.91357225,23,6.741984461,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2233
obese,male,vegetarian,less frequently,wood,public,,never,179,rarely,648,extra large,5,23.11683211,44,15.68344317,Sometimes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2708
underweight,female,vegetarian,twice a day,natural gas,public,,never,57,never,718,large,7,1.769586972,5,22.20963462,No,['Glass'],['Stove'],1184
obese,female,vegan,daily,electricity,public,,never,154,never,393,medium,5,0.756923036,42,13.65529772,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1099
normal,male,vegetarian,more frequently,electricity,public,,never,276,rarely,270,small,5,11.97050931,37,20.2117046,Sometimes,['Glass'],['Stove'],1526
overweight,female,pescatarian,daily,electricity,public,,sometimes,250,rarely,1638,extra large,7,10.6618956,10,3.397348367,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1870
obese,female,omnivore,daily,natural gas,walk/bicycle,,never,184,never,35,large,6,4.218407945,28,6.092234015,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave']",1833
normal,male,vegan,twice a day,coal,public,,often,179,very frequently,1423,extra large,4,4.889373217,46,14.97351115,Sometimes,"['Paper', 'Metal']",[],3516
underweight,male,vegetarian,more frequently,wood,public,,never,66,very frequently,435,small,7,14.21958768,31,17.10224167,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave']",2333
obese,male,omnivore,less frequently,wood,walk/bicycle,,often,50,rarely,25,extra large,5,16.37688092,50,9.050022146,Yes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2718
obese,male,vegetarian,daily,electricity,public,,sometimes,130,rarely,1950,medium,3,13.51417108,43,22.8091812,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1916
underweight,male,vegetarian,daily,coal,private,lpg,never,213,rarely,3654,small,5,15.26135133,50,1.332049802,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2637
overweight,male,pescatarian,daily,electricity,walk/bicycle,,sometimes,233,rarely,74,medium,3,3.204773541,11,10.13174086,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1126
overweight,female,pescatarian,twice a day,electricity,walk/bicycle,,sometimes,297,rarely,72,small,1,23.95369114,26,18.45302185,Sometimes,"['Plastic', 'Metal']",['Stove'],1066
overweight,male,vegetarian,more frequently,electricity,walk/bicycle,,sometimes,79,frequently,57,extra large,3,19.07721005,4,19.05970791,No,"['Plastic', 'Glass']","['Stove', 'Oven']",1855
underweight,male,pescatarian,more frequently,coal,private,lpg,sometimes,139,frequently,370,large,1,5.834069779,41,14.28719655,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2258
overweight,female,omnivore,twice a day,coal,walk/bicycle,,never,178,never,70,extra large,2,22.3197082,26,1.151641578,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1385
normal,male,omnivore,less frequently,wood,private,lpg,never,293,never,8001,medium,2,11.10191593,2,9.393921282,No,"['Paper', 'Glass']",['Stove'],3201
normal,female,vegetarian,daily,natural gas,walk/bicycle,,sometimes,64,very frequently,22,large,7,17.8607679,49,5.76030731,Yes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2771
normal,female,pescatarian,twice a day,natural gas,public,,sometimes,242,never,520,large,3,2.636347131,26,10.39300211,No,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1331
underweight,male,omnivore,twice a day,coal,private,electric,never,170,frequently,8876,medium,7,6.3930565,37,10.28187718,Yes,[],"['Stove', 'Oven']",2608
normal,male,vegan,less frequently,coal,walk/bicycle,,sometimes,155,never,44,large,4,18.22704667,24,20.50151783,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1414
normal,female,vegetarian,more frequently,natural gas,public,,never,255,frequently,402,extra large,7,0.114142075,25,0.579433082,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2339
overweight,male,omnivore,twice a day,electricity,public,,sometimes,147,very frequently,1679,extra large,1,14.79812892,29,18.7595269,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2783
obese,female,pescatarian,daily,natural gas,private,diesel,sometimes,160,never,7440,large,7,20.08579258,41,0.575291795,No,"['Plastic', 'Glass']",['Oven'],4039
underweight,male,vegetarian,daily,wood,private,lpg,never,85,very frequently,678,extra large,7,17.02286329,41,19.35349523,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],3036
underweight,male,vegan,more frequently,electricity,public,,often,188,rarely,1319,small,7,6.810804703,30,9.330378224,No,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1645
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,often,90,frequently,15,extra large,4,1.119018265,2,11.69271064,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1553
normal,male,pescatarian,twice a day,coal,walk/bicycle,,sometimes,259,frequently,6,extra large,6,7.411832922,18,21.82584938,Sometimes,['Metal'],"['Stove', 'Grill', 'Airfryer']",2789
normal,female,vegan,more frequently,wood,walk/bicycle,,sometimes,69,never,35,small,1,5.591788834,21,13.8788741,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1023
underweight,female,vegetarian,more frequently,electricity,private,petrol,often,210,very frequently,6683,medium,1,22.0159655,1,11.42003476,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],3624
obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,147,very frequently,36,medium,5,12.15394662,8,4.015201159,Yes,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",2561
obese,female,pescatarian,less frequently,wood,private,lpg,sometimes,79,never,4195,small,3,11.55288954,50,9.490687211,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2855
obese,male,pescatarian,twice a day,electricity,walk/bicycle,,sometimes,226,very frequently,21,medium,4,18.78135552,9,9.243751129,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],2267
normal,female,vegetarian,daily,electricity,public,,sometimes,255,never,1798,extra large,3,15.69429146,13,10.67518114,Yes,"['Paper', 'Glass']","['Stove', 'Oven']",994
obese,female,vegan,twice a day,wood,private,lpg,never,59,frequently,4562,large,7,5.389454192,50,7.184797937,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",3571
obese,female,omnivore,twice a day,coal,public,,never,178,rarely,1006,extra large,1,0.661328597,10,0.650083021,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1789
obese,male,vegan,twice a day,coal,walk/bicycle,,never,119,frequently,77,small,5,2.510081249,13,18.31011465,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave']",2170
obese,female,vegan,daily,wood,private,hybrid,often,282,rarely,4428,large,6,0.981500459,44,18.15327287,No,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2751
normal,female,vegan,more frequently,natural gas,public,,sometimes,91,rarely,1630,large,5,22.55341495,4,10.69917383,No,['Plastic'],"['Stove', 'Oven', 'Microwave']",1470
overweight,female,omnivore,twice a day,electricity,private,hybrid,sometimes,202,frequently,9282,medium,7,10.31688552,27,14.58931443,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3199
obese,male,pescatarian,twice a day,electricity,private,lpg,never,183,never,7025,medium,2,18.67513786,49,6.171396842,Yes,"['Paper', 'Plastic']",[],3443
obese,female,pescatarian,less frequently,coal,walk/bicycle,,never,299,very frequently,1,medium,7,4.110018268,43,9.017972417,Sometimes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",3238
underweight,male,vegan,twice a day,coal,private,hybrid,sometimes,88,rarely,5321,medium,4,19.71084325,41,9.147324622,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",2598
obese,female,vegetarian,less frequently,coal,private,electric,often,89,never,7423,extra large,2,5.86952842,12,22.46551031,Sometimes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1479
underweight,male,vegan,twice a day,wood,walk/bicycle,,never,273,rarely,55,small,3,14.17224118,20,0.392609403,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",977
normal,male,vegan,twice a day,electricity,public,,never,104,frequently,87,small,3,4.597286833,31,3.647090641,Sometimes,['Paper'],"['Stove', 'Microwave']",1589
normal,female,vegetarian,twice a day,coal,private,electric,often,176,rarely,4373,medium,2,19.11752996,14,19.06324259,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",1184
normal,female,omnivore,more frequently,natural gas,private,hybrid,sometimes,256,never,7576,large,7,13.88819942,9,13.86638384,Sometimes,"['Plastic', 'Metal']","['Stove', 'Microwave']",2514
overweight,female,omnivore,more frequently,coal,walk/bicycle,,often,122,rarely,5,large,7,9.823989122,19,19.85496423,No,"['Paper', 'Metal']","['Stove', 'Oven']",2056
overweight,male,pescatarian,twice a day,natural gas,walk/bicycle,,sometimes,211,very frequently,76,small,7,9.767396998,5,7.719713679,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2546
underweight,male,vegetarian,more frequently,wood,private,diesel,never,260,rarely,2468,small,7,8.302120832,43,22.93002167,No,"['Glass', 'Metal']",[],2334
underweight,male,omnivore,less frequently,coal,private,lpg,never,187,frequently,8542,large,1,4.100713194,7,1.166865973,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",4131
overweight,female,vegan,more frequently,natural gas,walk/bicycle,,sometimes,259,frequently,53,large,1,11.59147015,40,10.6548081,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1857
overweight,female,pescatarian,less frequently,electricity,private,electric,often,209,rarely,9970,extra large,6,22.03778096,48,12.1321528,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",2127
normal,female,vegan,twice a day,natural gas,public,,sometimes,126,frequently,118,medium,2,18.71705132,44,6.383507154,Sometimes,['Plastic'],['Microwave'],1738
normal,female,omnivore,less frequently,natural gas,private,lpg,never,152,never,6040,small,3,21.24428653,49,10.69270714,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2779
obese,male,vegetarian,less frequently,coal,public,,never,168,very frequently,1202,extra large,4,5.281021207,47,2.018043455,Yes,['Plastic'],"['Stove', 'Microwave']",4219
overweight,male,omnivore,daily,natural gas,private,lpg,often,142,frequently,1943,large,7,16.22480763,14,20.6598899,Yes,"['Plastic', 'Glass', 'Metal']",['Microwave'],2966
obese,male,vegan,twice a day,electricity,walk/bicycle,,never,95,never,95,small,6,22.3757957,42,18.57631413,Sometimes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1417
overweight,male,vegetarian,twice a day,wood,walk/bicycle,,often,111,very frequently,70,medium,7,15.78291044,40,0.280755881,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",3444
normal,male,vegetarian,daily,wood,walk/bicycle,,never,61,frequently,63,medium,4,5.311381632,11,22.29883689,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1641
underweight,female,pescatarian,more frequently,coal,private,petrol,never,183,very frequently,2132,medium,5,8.610322113,37,14.7447435,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2886
obese,male,omnivore,more frequently,wood,walk/bicycle,,often,152,never,91,medium,7,10.03245489,50,21.97963527,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2537
normal,female,vegan,more frequently,electricity,private,petrol,never,117,rarely,185,medium,2,15.89696751,5,4.784266465,Yes,"['Paper', 'Plastic', 'Glass']",['Oven'],572
obese,male,omnivore,daily,electricity,private,petrol,sometimes,163,frequently,3674,extra large,4,11.87252113,44,23.20955722,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4285
underweight,female,vegan,twice a day,coal,private,electric,sometimes,181,rarely,7643,large,5,21.30126605,46,4.379550842,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",1837
obese,male,vegetarian,more frequently,coal,walk/bicycle,,never,236,very frequently,7,small,4,18.26561732,48,14.34398972,Sometimes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3280
underweight,female,vegan,daily,coal,private,lpg,never,109,very frequently,3237,small,3,13.6804538,46,16.98429585,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],2721
obese,female,omnivore,more frequently,natural gas,public,,often,211,frequently,1254,extra large,6,10.49922799,46,8.410669198,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],3095
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,never,72,very frequently,98,medium,2,6.13044608,23,19.0265658,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",2537
underweight,male,omnivore,daily,wood,private,lpg,often,264,frequently,8451,large,7,8.519046399,36,9.109157424,Sometimes,['Glass'],"['Oven', 'Microwave']",5247
