body_type,sex,diet,shower_freq,heat_energy_source,transport,social,monthly_grocery_bill,air_travel_freq,vehicle_km,waste_bag_size,waste_bag_count,tv_daily_time,monthly_clothes,internet_daily_time,energy_eff,recycling,cooking_with,CE
0,0,0,2,3,2,1,288,1,51,3,4,15.41097688,22,11.72250327,0,1,12,7.106606137727303
0,1,2,3,1,0,1,282,2,2237,1,6,10.68011396,8,3.980162144,0,2,5,7.170119543449628
1,0,1,1,3,1,0,69,2,1804,1,1,5.249799063,3,15.42011629,0,11,8,6.931471805599453
2,1,0,3,3,2,2,110,1,85,3,3,12.97752973,4,3.601656108,1,0,0,6.559615237493242
1,1,3,0,0,0,1,165,0,472,3,4,22.47777385,24,9.585655043,2,5,11,7.856319571406588
2,1,2,0,0,0,2,62,3,5737,2,1,19.12456189,20,2.950274502,2,9,7,8.36264243156764
1,0,1,1,1,2,2,94,2,88,2,6,19.58341481,0,23.05718917,1,8,0,6.693323668269949
3,0,2,0,1,1,1,259,0,558,1,4,12.63153162,50,20.58311913,1,11,5,7.596392304064196
1,1,3,1,1,1,2,67,2,752,1,3,15.05225537,37,4.729228935,1,14,14,7.504942068396171
1,1,1,0,3,2,0,130,2,71,3,2,19.52879123,15,12.66252544,0,7,5,7.306531398939505
3,0,0,1,1,1,0,258,0,1028,3,2,23.29936986,44,14.75313758,2,3,1,7.353081920515432
1,0,2,2,3,1,2,189,0,1527,2,4,15.83781677,34,8.742062481,2,3,3,7.697121317282625
3,0,3,0,0,2,2,262,0,88,1,5,20.70871669,8,3.565086261,1,15,3,7.6128310304073565
0,0,1,0,2,2,0,157,0,73,2,4,0.252603834,42,22.56311841,0,1,0,7.413970290190444
0,0,1,0,3,0,1,280,3,8320,3,5,21.27962029,0,13.54314172,1,9,4,8.271548374755515
0,1,3,3,0,2,2,121,1,72,2,6,8.589397729,4,6.789818876,2,3,2,7.093404625868766
3,0,2,1,0,2,1,174,3,9,1,2,22.57857779,40,14.80901725,2,4,10,7.796057974316123
1,1,3,0,1,2,2,173,0,60,2,2,2.861545186,14,20.20456695,1,6,15,7.402451520818244
3,1,2,3,2,2,2,199,0,13,2,5,18.45145553,6,15.24503167,0,1,0,7.4073177104694174
3,1,0,1,3,2,0,94,2,32,3,6,23.94990769,5,14.31690354,1,3,3,6.90975328164481
3,0,1,1,0,2,0,64,0,49,3,1,18.22116414,47,9.94403903,2,6,0,7.479299637782834
2,0,0,3,1,1,0,100,3,1351,0,1,7.501724225,24,0.202411513,2,4,2,7.614805364711073
0,0,3,2,0,1,1,240,3,1726,2,2,4.42183331,19,21.22441139,0,3,12,7.8399193600125825
3,0,0,0,1,1,2,245,1,1021,2,7,5.514171709,48,13.01040712,0,1,4,7.234177179749849
0,0,1,0,0,2,2,270,2,62,3,5,4.085968788,21,20.35901441,1,14,0,7.425953657077541
2,1,0,0,3,0,1,294,3,9488,3,5,16.94303541,20,23.39155844,2,7,15,8.052296499538647
0,1,3,2,3,1,0,87,3,1037,1,4,0.56216103,11,13.04138718,0,12,0,7.87359778968554
3,1,1,1,3,0,0,209,1,9555,1,2,18.99371497,43,16.2553008,2,1,1,7.080026499922591
3,1,1,3,1,0,0,124,1,9031,0,5,17.65923734,11,20.61133371,2,6,6,8.062747901086354
2,0,3,2,2,1,2,276,0,1461,1,7,1.804591262,5,15.72203551,1,11,0,7.752335163302292
2,0,2,0,3,2,0,90,3,39,2,3,17.99157213,7,5.687145772,2,8,8,7.507690077819904
1,0,2,1,2,0,2,136,1,5033,2,6,12.43405004,43,10.49801915,0,8,12,7.887959336599945
3,1,2,0,1,1,2,246,0,1065,0,4,10.4843255,43,14.63609983,2,10,0,7.663407664893479
0,1,1,1,3,1,1,94,2,927,2,5,23.47183736,10,18.35860895,2,5,13,7.261927092702751
2,1,3,2,1,0,0,253,0,2277,1,1,21.70962199,11,12.20204195,1,1,14,7.432483807917119
1,0,0,2,2,2,0,200,2,97,2,7,10.58955314,18,13.50071472,1,11,10,7.448333860897476
0,1,2,1,0,0,2,281,0,7272,1,2,16.99385777,38,0.504902381,0,5,3,8.308938252595778
1,0,3,1,1,0,2,82,2,5260,0,3,3.783932518,18,3.798549232,0,6,4,8.09009578318096
2,0,1,2,0,1,1,73,2,1750,0,1,8.778615367,30,3.178547995,2,5,0,7.422971251049421
1,1,3,0,2,0,1,246,0,2998,3,4,2.780226977,36,22.61450098,1,11,8,8.050384453067021
3,1,1,1,2,0,2,98,2,9147,0,5,21.3600651,49,15.81016309,2,6,2,8.4040244933106
2,1,1,3,1,1,0,256,2,1947,0,3,4.511907656,33,0.676125806,1,15,14,7.592870287844818
2,0,3,1,1,0,1,287,3,4885,1,1,3.261642989,21,15.90581983,2,10,2,8.085178748074537
1,0,0,0,1,2,0,63,0,20,1,4,14.50686878,6,23.82323361,0,0,0,7.208600337960199
1,1,3,1,0,2,1,158,1,23,0,1,2.843928722,33,6.855703941,0,7,14,7.564757012905729
1,1,0,3,1,2,1,241,0,34,1,5,20.95193388,15,4.312396168,2,15,1,7.908019444632471
1,0,3,3,0,2,0,176,0,59,1,1,19.78795571,41,8.114873396,2,13,12,7.756195343948118
0,0,3,1,3,1,1,189,1,682,3,6,15.6652017,35,16.95463173,1,7,2,7.146772179452637
1,0,3,1,2,2,1,214,1,10,1,6,4.486310245,12,12.8404893,2,7,10,7.497207223203318
0,0,2,0,1,2,2,264,3,10,2,1,3.499731065,22,16.43181375,1,5,1,7.504391559161238
0,1,0,3,0,0,2,213,1,7964,3,1,17.9508027,43,0.127689215,0,12,12,8.442038517815478
3,0,0,3,0,0,1,281,2,3606,3,3,17.45945356,8,15.75656473,1,10,14,7.554334823725748
0,1,2,1,2,1,2,280,0,536,1,2,20.07586193,30,22.83146856,2,14,13,7.611347717403621
0,1,0,2,2,1,0,125,2,1564,1,5,3.150430382,15,10.72065026,0,11,9,7.547501682814967
1,1,2,0,1,2,0,188,0,78,3,4,0.003479287,21,9.490610957,0,13,5,7.478734825567875
0,0,0,0,3,2,1,251,1,98,3,1,21.48216692,47,18.31878142,0,8,10,7.187657164114956
0,0,1,0,3,1,0,285,3,1820,3,1,5.256337638,24,23.36026196,2,14,7,7.727094484779841
1,1,2,2,3,1,0,234,1,243,0,4,15.37012562,36,23.71199624,2,2,4,7.559038255443384
2,0,2,0,2,1,2,91,3,1586,3,7,4.34442651,43,13.97137303,2,8,8,7.814803429489359
0,0,0,0,2,2,0,118,0,11,1,3,11.46310883,10,2.393066248,0,13,12,7.275172319452771
1,0,3,3,2,2,0,75,1,72,3,5,18.41260168,42,9.985769136,1,4,6,7.134093721192866
2,1,3,2,1,1,0,134,1,1157,3,5,14.35095932,35,21.79150192,0,7,5,7.252053951852814
3,1,1,0,3,1,1,282,1,1380,0,4,5.118461857,11,4.661507366,0,6,7,7.380879035564116
1,1,3,1,1,0,1,110,1,5765,2,5,13.48925418,2,4.719574451,0,13,12,8.024207485778577
2,0,3,1,2,2,0,202,3,92,0,6,8.553185443,16,19.35033567,2,15,7,7.973155433444133
2,1,1,1,1,0,0,56,0,7797,1,7,22.97271577,8,2.364804552,2,6,12,8.366602832783736
0,0,2,3,1,2,1,223,3,50,3,3,21.27564838,35,2.969537698,2,14,1,7.744136627627991
0,0,3,2,3,0,1,202,0,7629,2,1,1.999736479,37,8.518424056,0,2,7,8.326516830239528
2,1,3,0,3,0,2,114,0,2367,2,3,22.69740476,41,21.3431047,0,1,12,8.0040315078527
2,0,0,0,3,0,1,141,0,3960,2,1,21.64931758,21,18.65618568,2,12,15,8.038512020976814
2,0,2,3,0,2,2,236,2,42,0,2,8.008842794,15,1.425559024,2,10,15,7.218176838403408
0,0,0,0,0,0,2,95,2,6455,1,1,7.96725832,31,20.66900763,2,4,2,7.9865049385539955
2,0,3,2,1,2,0,249,0,41,1,4,10.62164552,2,16.45970379,1,13,11,7.207118856207756
2,0,1,0,2,2,1,213,1,71,2,1,11.72912008,17,9.626866263,2,6,11,6.945051063725834
1,1,3,3,3,2,0,81,1,39,2,7,14.03114886,31,18.11010803,0,6,15,7.503840746698951
2,0,3,2,0,2,0,91,3,50,0,1,20.53019877,29,4.793788375,0,3,0,7.850103545175582
2,0,2,3,3,0,2,291,3,8707,2,3,14.08486871,23,19.06588248,1,2,8,7.79934339821592
1,0,1,3,1,0,2,70,3,167,3,2,11.72922898,7,3.650795909,2,10,12,7.628517626575055
2,0,1,2,2,1,1,89,3,631,2,7,12.2657863,0,13.92903685,1,0,3,7.740229524763182
2,1,2,3,1,1,0,121,2,194,1,6,8.99859582,16,23.46680898,1,10,6,7.307872780763706
3,0,0,0,0,2,1,198,2,46,2,1,3.119121387,45,17.38780623,0,4,9,7.433666540166168
1,1,3,2,3,2,0,234,0,37,0,3,2.766303742,29,7.672916555,2,13,3,7.855932199718614
2,1,3,1,3,2,2,84,2,31,1,2,7.618571348,1,3.83158383,1,3,7,6.856461984594587
0,1,2,3,0,0,1,182,1,2880,3,5,15.72284491,9,20.28260307,1,4,1,7.56164174558878
2,0,1,1,3,2,1,275,1,6,0,2,11.39890551,49,17.33304965,2,13,14,7.467942332285852
3,0,1,2,0,2,2,228,3,40,3,6,12.62652043,35,23.13745066,1,7,10,7.848543482456679
2,1,2,2,3,2,0,140,0,1,1,6,6.279860965,24,19.56336209,0,12,1,7.806289289267033
2,0,3,2,1,1,2,232,1,1341,0,1,2.318971503,8,20.26050501,1,2,12,6.48768401848461
0,0,1,3,1,1,1,115,3,393,3,3,18.60913697,13,22.84672148,0,9,10,7.471932078245122
1,0,2,0,2,1,0,157,0,191,2,4,22.68173909,44,2.832106357,1,6,11,7.688913336864796
1,0,1,3,0,1,2,156,3,131,0,1,19.89588882,20,8.903408021,0,5,0,8.009363076630045
3,1,0,0,3,0,1,252,3,1419,1,5,4.945095182,43,6.305099597,2,6,5,8.228977643358313
0,0,2,0,1,0,0,162,2,9159,3,7,16.79388284,26,20.29806867,0,15,11,7.022868086082641
1,1,3,0,3,0,0,145,1,8016,3,3,11.75001981,14,3.017446962,0,10,9,7.940939762327791
2,0,0,0,1,2,0,214,1,87,2,3,0.293080267,32,0.600726192,0,14,11,7.204892510204673
3,0,2,3,2,2,0,126,2,3,3,5,8.441036655,3,3.36607099,2,8,12,6.508769136971682
3,0,0,3,3,2,1,91,0,13,0,1,4.122917418,44,23.40473147,2,5,11,7.43543801981455
0,0,0,2,1,2,0,205,1,74,1,3,11.74300043,2,4.421307728,0,10,9,6.697034247666484
3,0,1,3,3,0,0,285,0,7743,0,3,3.672088673,33,11.24862537,2,13,4,7.92588031673756
3,0,2,2,2,1,0,178,1,993,1,7,23.81305559,2,9.437591609,1,4,11,6.940222469119639
1,0,0,3,0,1,2,236,2,1997,1,4,17.72838416,17,16.60072179,0,4,5,7.6236419465115715
1,0,0,2,0,0,0,286,2,2721,3,6,0.35592614,30,6.614201314,0,3,0,7.682943169878292
0,0,3,0,0,2,1,108,2,5,2,7,10.48522603,0,8.226026976,2,12,8,7.179307969504034
1,1,2,3,3,1,2,76,2,941,1,1,5.780642224,3,12.01205899,0,10,12,7.097548850614793
3,1,2,2,0,0,2,270,0,8815,3,2,19.39555914,37,16.15399958,1,11,11,8.298290634359283
0,0,1,2,3,0,1,146,2,3276,0,1,21.02833103,10,14.31542881,0,0,10,6.776506992372183
1,1,2,3,1,0,2,221,1,3309,2,5,14.54253566,16,4.922512086,2,13,11,7.526178913346146
1,1,1,2,3,0,1,230,1,2623,2,2,0.474790499,31,7.693282415,0,3,11,7.69484807238461
1,0,0,3,1,0,1,295,3,7915,1,1,23.79134795,10,5.232901674,1,12,12,8.361941906144946
3,1,2,1,1,0,2,177,0,8897,3,3,11.84514649,3,15.77960157,2,7,5,8.15478757276852
3,0,3,3,2,2,1,189,1,19,2,1,11.72654625,36,18.06323408,1,1,8,6.859614903654202
3,1,0,0,2,0,1,174,0,3662,3,2,10.08629131,44,7.061799738,2,10,3,7.6236419465115715
1,1,2,3,0,0,0,193,1,611,1,6,21.80476802,37,21.88212304,1,2,0,7.83241092718792
2,1,0,3,3,1,0,238,3,1431,1,6,15.3782441,33,2.554173107,2,13,5,8.174984532943087
0,1,1,3,3,1,2,101,1,1978,2,3,0.995108765,36,8.376483357,2,12,7,7.285506548522785
3,1,2,0,1,2,2,99,3,92,0,2,13.54729904,29,0.786552011,0,7,2,7.820840879907344
1,1,0,0,0,2,1,50,0,82,1,1,9.443048329,23,12.52818395,0,3,0,7.787796878181171
1,0,1,0,0,1,0,71,3,1851,1,7,21.60887588,0,10.96121026,2,4,14,7.923348211930154
3,0,3,3,3,1,2,232,2,1224,0,3,23.91337766,26,18.9196087,1,10,0,7.313220387090301
2,1,1,2,3,0,2,247,1,8219,0,5,20.85448869,2,10.98192662,1,7,12,7.443078374348516
1,0,0,1,0,1,2,222,1,1390,0,4,11.04048043,2,8.560512294,0,11,3,7.448333860897476
2,1,2,1,3,1,2,61,0,434,2,1,3.648548768,41,9.775231477,0,12,8,7.666221925662725
3,1,2,1,3,0,2,137,1,7460,3,6,8.022372668,11,5.615804145,1,12,7,7.621684998724611
0,0,2,2,3,2,0,157,2,15,3,1,16.81135547,50,21.92754578,1,9,7,7.107425474110705
3,1,3,1,2,0,0,174,3,4686,0,2,21.19811823,47,9.629122625,0,4,11,8.152774052744075
0,0,3,0,1,2,1,214,1,88,1,5,12.86879269,39,23.90671656,1,2,9,7.228388451573604
0,0,1,1,1,2,2,214,3,40,0,2,19.37915414,43,6.047503651,2,8,3,7.666221925662725
0,1,1,2,3,2,0,66,1,56,3,6,11.09787189,49,4.644646127,0,5,13,7.288927694521257
2,0,2,1,0,2,2,123,3,14,0,6,14.95634563,2,12.46881425,2,10,8,7.943072717277933
0,1,2,1,3,1,2,105,3,108,2,1,16.54236578,19,12.87135283,0,12,14,7.700747794511798
1,0,0,1,2,0,1,125,1,5168,3,3,19.7002609,40,3.648285705,0,12,12,7.347299700743164
0,1,2,2,0,0,0,280,0,672,3,3,22.91744297,34,8.919285261,0,8,14,7.785720896534624
1,0,2,1,2,2,2,238,3,94,0,3,3.932447328,21,1.069651628,1,11,0,8.007700012884026
1,0,3,0,3,0,2,270,2,3114,1,3,0.925814145,5,15.47603699,1,13,0,7.8399193600125825
0,0,3,3,2,0,0,80,2,7134,0,2,1.845339923,8,20.56828322,2,8,9,7.793174347189205
2,0,2,2,0,0,2,276,2,8609,0,6,6.159717714,14,11.00273312,2,12,13,8.294049640102028
0,0,0,1,2,1,1,210,1,852,0,1,6.445532741,32,7.272726038,0,9,8,7.160845906664299
1,1,3,1,2,1,0,270,2,1673,2,6,4.657327234,50,20.99106247,2,1,5,7.748028524432376
0,0,3,2,0,1,1,152,3,1564,1,7,9.899641066,17,1.921140396,2,2,15,7.912056888179006
0,0,2,2,3,2,1,247,2,74,3,7,23.36074276,17,2.971034843,2,7,14,7.223295679562314
0,0,0,0,2,0,2,145,2,2885,3,4,15.47096967,33,12.66526298,1,6,6,7.761744984658913
0,1,2,3,2,0,0,260,2,8130,1,7,9.184322827,27,13.61305483,1,10,13,8.419800845407588
2,0,3,3,3,1,1,283,3,228,0,3,0.017868315,40,18.26001513,0,2,8,8.00202481821611
0,0,3,2,3,1,2,277,1,1162,2,4,17.31916123,20,16.8837225,1,9,9,6.946013991099227
0,1,1,1,3,1,0,203,1,71,2,2,22.44346361,24,13.48676795,0,4,9,6.943122422819428
1,0,0,3,2,0,0,213,0,6337,0,4,11.82449484,1,14.00940659,1,15,3,8.194229304819817
0,1,2,2,2,1,0,135,2,1649,3,4,13.87979055,21,22.48915904,1,8,10,6.9167150203536085
3,0,0,0,2,0,1,96,3,6159,3,2,22.29360133,5,23.7631921,2,2,0,7.970740390007095
2,1,0,2,1,0,2,162,1,9884,0,1,14.66994245,32,4.925972684,2,14,1,8.364973978438726
0,1,2,2,3,0,2,233,0,4060,0,7,9.907646904,46,8.091943212,0,3,9,8.14002395246292
3,0,0,0,2,2,2,262,2,68,2,7,6.598662827,13,4.588690334,2,5,7,7.195937226475569
2,1,1,1,3,2,0,176,3,5,1,7,5.390909675,34,9.619142757,0,7,7,8.215276958936633
0,0,1,3,2,1,1,176,2,702,3,4,10.17838818,31,12.09944768,1,11,9,7.309212365692763
3,1,2,1,0,2,2,147,3,2,0,4,1.744628365,14,4.199144004,0,10,10,7.929846429742503
2,0,0,1,0,2,1,83,2,42,3,1,8.992124865,0,12.72239589,0,2,9,6.900730664045173
0,0,0,1,0,1,0,205,1,274,0,5,17.47244086,32,17.41189538,1,14,4,7.572502985020384
0,0,0,1,0,1,1,125,0,590,3,3,10.4174302,3,3.765693435,0,10,6,7.295735072749282
2,1,3,3,2,0,1,145,0,84,3,1,23.08251724,5,18.52866534,2,15,9,7.539027055823995
0,0,1,1,0,0,1,236,0,6908,1,3,7.323675209,8,12.71676458,2,15,7,8.170468578330674
3,0,0,0,3,2,1,101,2,52,2,7,3.752954663,45,0.71298362,1,4,8,7.404887575616125
1,0,3,2,2,0,0,77,0,121,0,2,20.20769078,0,10.51338304,1,1,1,7.145196134997171
1,1,0,1,2,2,0,241,2,30,3,7,2.082715209,14,4.451802645,1,9,15,7.332369205929062
1,1,2,3,1,1,0,124,2,1336,0,4,20.82545827,34,5.182637515,2,7,14,7.638198244285779
1,1,0,1,1,2,1,82,1,89,1,4,8.005532821,49,10.36548465,1,7,15,7.52294091807237
0,1,1,1,2,1,0,262,1,1412,3,6,21.52287706,7,13.32615915,1,8,15,6.907755278982137
1,1,3,3,1,2,0,254,1,4,3,3,20.53746484,34,21.97440704,1,15,3,7.3031700512368
2,0,1,2,0,1,2,76,2,1924,2,1,20.8221109,19,4.949584883,0,0,8,7.037905963447182
3,0,1,0,2,2,0,207,1,64,1,2,11.53229061,13,6.001728518,0,0,4,6.525029657843462
2,1,2,0,2,0,1,234,1,8659,1,1,1.861654033,10,0.030298476,2,9,2,6.8308742346461795
0,0,1,0,0,2,2,93,2,82,3,1,23.3818019,8,14.05327336,2,5,4,6.9440872082295275
0,0,2,1,1,2,1,76,3,31,3,4,8.105254616,0,10.7077022,0,5,14,7.2909747781429814
0,1,0,2,2,0,0,67,2,5230,2,3,13.47392994,6,19.23184871,1,2,8,6.81783057145415
3,0,0,3,1,1,0,101,0,450,0,4,12.75140815,35,23.52344857,0,12,3,7.462214939768189
3,1,3,2,0,1,2,73,3,441,3,2,5.07048807,46,15.81322194,2,10,2,7.91644286012226
1,0,3,3,3,0,0,280,2,6160,1,2,7.878282999,8,15.73786065,0,8,0,8.002359546252707
2,0,2,3,0,2,1,85,0,35,2,4,19.19244329,34,5.124011177,1,6,6,7.67786350067821
2,1,1,1,2,2,2,256,0,57,1,6,2.143530126,44,19.35959638,2,7,5,8.038512020976814
0,1,3,0,3,2,2,193,3,7,0,3,11.58505056,43,19.40221388,1,4,5,7.92443418488756
3,1,1,1,3,0,0,145,0,5469,2,4,0.914753097,5,22.48627857,0,12,10,7.755767170102998
3,0,1,3,3,2,2,282,0,6,2,3,12.21806359,23,22.23290931,1,0,2,7.2875606403097235
1,1,0,0,0,1,2,133,0,21,3,3,1.270196073,31,20.06408543,1,1,13,7.764720544771477
3,1,3,0,0,1,2,232,2,1127,2,1,14.99689562,45,3.112651721,0,4,9,7.456454555176209
0,0,0,0,0,2,0,129,1,7,2,2,10.6839152,25,17.62870369,0,5,15,7.057897937411856
0,0,3,2,0,0,1,140,0,6028,0,3,20.6068583,12,11.7573205,0,11,15,7.5411524551363085
3,1,2,0,3,0,2,155,2,1669,3,3,8.397181757,18,4.928223931,1,5,5,7.316548177182976
1,1,1,1,3,1,1,171,1,1972,3,6,2.05738565,0,13.15378288,2,10,4,7.132497551660044
0,0,0,1,1,1,2,274,1,684,2,6,7.290243717,22,18.41973701,0,6,3,7.215239978730097
2,1,0,3,0,2,2,264,3,13,1,4,19.81763956,42,5.044562509,1,6,12,8.249052274171293
0,1,2,0,0,0,1,98,3,8061,3,7,23.02339126,18,7.395692373,1,0,12,8.429454277108231
0,0,2,3,0,0,1,252,1,2544,0,7,17.6350631,50,4.356817871,1,0,8,7.949091499830517
3,1,3,3,1,2,2,256,2,46,0,1,12.22894103,35,10.90164521,2,1,0,7.030857476116121
0,1,1,3,1,1,1,209,3,62,3,1,14.30758152,18,7.850685329,0,15,13,7.775695749915245
0,1,2,1,3,0,1,269,0,4447,0,4,14.90082983,43,22.90052208,1,14,11,7.88193748927207
0,1,1,2,3,0,1,113,2,4303,3,7,3.475698377,23,13.00761737,2,12,8,7.903226808730733
2,1,2,0,1,0,2,270,3,3176,2,5,4.86794023,16,7.523652084,1,0,12,8.021256180143997
3,1,1,2,3,0,0,72,2,7255,3,2,19.48206946,50,23.25730502,1,13,5,8.050065422915965
1,1,2,1,3,2,2,101,3,62,0,7,17.43820832,19,0.30653394,0,13,4,8.193953023563742
3,1,0,1,3,0,2,196,3,6254,3,6,12.93554993,45,12.3585961,2,2,11,8.519789817263504
2,0,2,3,0,2,0,277,3,93,2,3,9.51002945,17,12.83241305,2,5,15,7.8009820712577405
0,0,0,3,3,2,0,91,1,86,3,3,1.486539398,8,9.183337794,1,0,2,6.1903154058531475
2,1,1,3,3,1,0,97,2,357,0,7,16.01687824,39,9.122255385,1,5,9,7.786967002614872
2,1,2,1,3,0,1,244,3,8725,1,7,23.68519047,46,15.52578539,1,10,14,8.876125585396185
2,1,3,0,2,1,0,108,3,1753,2,5,23.30462238,16,21.59976943,2,13,12,7.8898337513942955
2,0,0,0,3,2,0,106,3,45,1,1,1.03085538,44,6.136615512,0,0,2,7.749753406274437
3,1,2,3,0,1,0,103,2,292,3,5,4.356013035,25,1.116086989,1,13,0,7.3613754289773485
2,0,3,1,0,1,2,220,3,1739,2,6,12.9554836,0,7.554606846,2,8,2,7.81237820598861
1,1,0,1,1,2,0,287,0,2,3,6,13.79875585,27,17.79539516,0,13,10,7.840312983320164
2,0,0,0,3,2,2,123,3,38,2,3,0.385849153,21,8.086750772,2,4,7,7.739794458408701
2,1,1,1,1,1,0,259,2,970,1,1,11.57464521,31,9.321045499,0,10,7,7.275864600546533
2,1,2,3,2,0,2,172,1,8616,0,7,1.929054584,2,5.844661848,1,0,15,8.352318548226004
3,1,1,3,0,1,0,227,3,635,3,3,21.77082832,42,6.597215064,2,9,14,7.882314918980268
0,0,0,3,0,0,2,161,1,2914,2,1,11.85911156,13,16.97432439,0,1,0,6.940222469119639
3,1,1,2,1,2,0,146,2,92,3,3,20.82570893,26,19.83665762,0,2,12,6.897704943128636
0,0,2,3,1,2,1,151,1,67,1,6,20.68885237,6,21.91821194,2,9,1,6.842683282238422
2,0,1,0,1,0,2,244,0,6972,2,5,15.68233205,23,22.49388471,0,10,8,8.155649270366002
1,0,1,3,2,0,0,193,3,9812,1,3,3.785264882,31,16.17645116,0,8,2,8.781862489558945
0,1,0,1,3,1,2,255,3,1057,3,7,22.23214348,27,1.94524829,0,8,4,7.982416346827733
0,1,1,0,3,0,1,125,2,3295,1,1,13.01220669,34,19.56284194,0,6,8,7.773594467360194
3,0,0,2,0,2,2,52,0,97,3,1,12.30280161,9,17.61415228,0,8,2,7.132497551660044
0,0,0,3,3,0,0,252,2,9705,0,6,9.936574221,8,18.90403221,0,15,7,7.535830462798367
3,0,2,1,2,0,2,69,2,3105,3,6,22.69617696,38,6.499974382,1,1,12,7.364547014255642
2,1,0,2,2,2,2,139,1,6,0,1,1.547094609,2,1.027165336,1,5,5,6.881411303642535
2,1,3,2,1,2,1,242,3,34,3,2,12.48249053,42,8.760029964,2,9,9,7.865955413933502
3,1,1,3,2,1,1,224,0,1328,1,2,23.25903218,28,1.009518965,0,9,8,7.627544390488503
0,1,0,1,0,1,1,242,1,779,3,7,2.824232009,16,20.42217506,1,11,1,7.415776975415394
2,0,2,0,2,1,0,193,2,913,0,4,12.9710314,29,15.35876295,2,13,11,7.288244401020124
2,0,1,2,3,0,0,79,2,5464,3,1,5.580121077,45,12.9522528,0,0,7,7.04141166379481
3,1,1,0,3,0,0,222,1,3912,2,6,13.49183858,41,14.03196146,1,15,7,7.933796874815411
2,0,0,2,2,2,2,271,2,89,0,7,6.753043505,46,6.036141294,1,9,1,7.874358824729881
2,0,0,0,3,0,0,193,0,4359,2,5,20.32551858,9,12.53627141,0,5,1,7.757051142032013
2,0,1,0,0,0,0,156,2,7873,1,7,23.68666041,44,14.35835021,0,12,2,8.290041618704489
0,1,1,2,2,1,0,168,2,374,3,2,16.03549886,34,6.458916165,1,1,8,7.133295954896068
1,0,3,1,2,1,2,175,2,1218,2,1,16.39970898,17,0.411634704,0,7,10,7.299797366758161
2,0,0,1,2,2,1,212,2,1,2,1,9.116593787,38,10.61293739,0,12,13,7.349873704738337
2,1,0,0,2,1,0,101,1,638,2,7,6.403910214,36,23.58637523,2,15,11,7.52131798019924
0,0,0,3,2,0,2,296,2,8641,2,4,13.42730874,3,5.334054839,1,6,4,7.9294865233142895
0,1,0,2,0,2,0,66,1,46,3,5,16.8622038,50,7.800994886,0,14,7,7.510977752014095
2,0,3,1,3,0,0,210,2,2871,1,1,2.179159047,35,16.14279927,2,13,15,7.428927194802272
1,0,0,0,0,1,2,189,3,978,0,1,11.45937806,46,15.82842139,2,4,2,8.161375023197486
0,0,0,3,2,1,1,225,3,1585,2,1,14.33056661,36,13.94467736,0,3,1,7.8399193600125825
3,0,2,2,3,2,2,139,1,92,0,2,9.17421096,21,7.220475475,1,2,8,6.731018100482083
0,0,3,1,0,0,1,217,3,4197,2,4,13.34046334,28,10.30390477,0,2,14,8.177234885510194
0,0,2,2,1,1,1,275,0,199,2,4,7.330559229,2,3.614739846,0,2,7,7.1204443723924875
